 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,2.000, 5.000,  0.400,  -3.468, -3.006,  -2.664, -8.335, -9.277,  -7.773, -6.681, -6.344,  0.498,  0.655,  -1.763, -2.352, -2.742,   0.679,  0.201, -0.297, -1.936, -2.070,  -2.935, -2.463,  -3.234, -3.347, -4.058, -3.512, -0.021
 F,F,ok,2.250, 1.500,  0.400,  -4.992, -5.560,  -4.674, -7.559, -8.025,  -6.967, -6.151, -9.419, -4.824, -5.958,  -1.173, -1.693, -2.044,  -7.857, -8.332, -8.400,-11.864,-11.836,  -5.681, -5.212,  -7.091, -6.592, -3.396, -2.932, -5.653
 F,F,ok,2.250, 2.000,  0.400,  -4.297, -3.861,  -3.681, -7.222, -7.917,  -6.719, -5.886, -9.166, -3.053, -3.675,  -1.160, -1.677, -2.027,  -7.311, -7.786, -7.933,-11.529,-11.438,  -5.517, -5.047,  -6.215, -6.045, -3.370, -2.906, -3.510
 F,F,ok,2.250, 2.500,  0.400,  -4.202, -3.467,  -3.569, -7.496, -8.355,  -6.392, -5.403, -9.063, -2.130, -2.092,  -1.165, -1.677, -2.024,  -6.527, -7.002, -7.244,-11.273,-11.217,  -5.561, -5.091,  -5.863, -5.853, -3.365, -2.903, -2.425
 F,F,ok,2.250, 3.000,  0.400,  -4.089, -3.311,  -3.315, -7.592, -8.510,  -5.971, -4.898, -9.019, -1.595, -1.449,  -1.207, -1.706, -2.049,  -6.061, -6.536, -6.804,-11.120,-11.114,  -5.622, -5.153,  -5.957, -6.020, -3.398, -2.942, -1.957
 F,F,ok,2.250, 3.500,  0.400,  -3.932, -3.201,  -3.066, -7.576, -8.516,  -5.520, -4.398, -6.388, -1.251, -1.159,  -1.301, -1.781, -2.117,  -3.323, -3.798, -6.546, -4.921, -4.980,  -4.123, -3.654,  -3.929, -3.972, -3.487, -3.042, -1.672
 F,F,ok,2.250, 4.000,  0.400,  -3.759, -3.088,  -3.003, -7.442, -8.393,  -5.100, -4.081, -3.589, -1.015, -0.989,  -1.470, -1.934, -2.264,  -0.505, -0.981, -2.702, -1.388, -1.487,  -2.184, -1.714,  -2.129, -2.211, -3.668, -3.232, -1.437
 F,F,ok,2.250, 4.500,  0.400,  -1.444, -0.832,  -0.597, -5.547, -6.504,  -4.838, -3.805, -3.277, -0.793, -0.785,  -1.068, -1.633, -1.999,   0.274, -0.202, -0.965,  0.789,  0.675,  -0.219,  0.254,  -0.351, -0.447, -3.255, -2.599, -0.528
 F,F,ok,2.250, 5.000,  0.400,  -3.472, -2.880,  -2.650, -8.365, -9.320,  -7.579, -6.492, -6.119,  0.641,  0.872,  -1.518, -2.106, -2.496,   0.935,  0.456, -0.040, -1.700, -1.814,  -2.685, -2.213,  -3.022, -3.123, -3.786, -3.223,  0.165
 F,F,ok,2.500, 1.500,  0.400,  -4.978, -5.532,  -4.653, -7.498, -8.002,  -6.728, -5.912, -9.178, -4.786, -5.846,  -0.926, -1.446, -1.797,  -7.617, -8.092, -8.160,-11.740,-11.672,  -5.434, -4.965,  -7.001, -6.402, -3.149, -2.685, -5.587
 F,F,ok,2.500, 2.000,  0.400,  -4.283, -3.820,  -3.646, -7.152, -7.896,  -6.456, -5.625, -8.898, -3.023, -3.512,  -0.909, -1.427, -1.777,  -7.050, -7.525, -7.681,-11.380,-11.222,  -5.259, -4.790,  -6.080, -5.816, -3.120, -2.656, -3.430
 F,F,ok,2.500, 2.500,  0.400,  -4.212, -3.433,  -3.553, -7.473, -8.355,  -6.152, -5.159, -8.817, -2.094, -1.904,  -0.916, -1.427, -1.775,  -6.205, -6.680, -6.943,-11.109,-10.976,  -5.313, -4.844,  -5.708, -5.603, -3.115, -2.653, -2.313
